identifier	variety	winery	AVA	vintage	pH	titratableAcidity	ethanol	price_USD	nCases	wineID	collectionYear	sourceDomain
162	Cabernet Sauvignon	Shackelford Wine	Columbia Valley	2017	3.62	6.1	14.1	36.000	72	Special Selection Cabernet Sauvignon	2021	https://shackelfordwine.orderport.net/product-details/0026/2017-Special-Selection-Cabernet-Sauvignon
163	Cabernet Franc	Shackelford Wine	Columbia Valley	2017	3.82	5.8	15	32.000	29	Cabernet Franc	2021	https://shackelfordwine.orderport.net/product-details/0027/2017-Cabernet-Franc
164	Petit Verdot	Shackelford Wine	Columbia Valley	2017	3.87	6.2	14.7	32.000	46	Petit Verdot	2021	https://shackelfordwine.orderport.net/product-details/0028/2017-Petit-Verdot
165	Cabernet Sauvignon	Vibe Cellars	Horse Heaven Hills	2018	3.72	6.4	14.8	44.00		Cabernet Sauvignon	2021	https://www.vibecellars.com/wine-list.html
166	Sangiovese	Vibe Cellars	Yakima Valley	2018	3.44	6.2	14.8	NA		Sangiovese	2021	https://www.vibecellars.com/wine-list.html
167	Syrah	Vibe Cellars	Columbia Valley	2019	3.58	6.1	14.8	36.00		Syrah	2021	https://www.vibecellars.com/wine-list.html
168	Red Blend	Vibe Cellars	Yakima Valley	2019	3.46	5.7	14.8	40.00		Gemelli Super Tuascan	2021	https://www.vibecellars.com/wine-list.html
169	Cabernet Sauvignon	Vibe Cellars	Horse Heaven Hills	2019	3.56	6.1	14.8	40.00		Voodoo Blend	2021	https://www.vibecellars.com/wine-list.html
170	Cabernet Sauvignon	Vibe Cellars	Red Mountain	2019	3.33	6.6	14.8	45.00		Wave Cabernet Sauvignon	2021	https://www.vibecellars.com/wine-list.html
171	Grenache	Alexandria Nicole Cellars	Horse Heaven Hills	2019	3.69	5.9	14.2	42.00		Purple Reign Grenache	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2021/04/2019-Purple-Reign-Grenache-ADA.pdf
172	Merlot	Alexandria Nicole Cellars	Horse Heaven Hills	2019	3.71	6.23	14.2	26.00		Gravity Merlot	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2021/09/2019-Merlot-ADA.pdf
173	Bordeaux Blend	Alexandria Nicole Cellars	Horse Heaven Hills	2019	3.71	5.98	14.2	26.00		Quarry Red Blend	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2021/09/2019-Quarry-Butte-ADA.pdf
174	Syrah	Alexandria Nicole Cellars	Horse Heaven Hills	2019	3.64	6.1	14.4	45.00		Block 17 Syrah	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2021/09/2019-Block-17-Syrah-ADA.pdf
175	Syrah	Alexandria Nicole Cellars	Horse Heaven Hills	2019	3.72	6.52	14.2	28.00		Jet Black Syrah	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2021/09/2019-Jet-Black-Syrah-ADA.pdf
176	Tempranillo	Alexandria Nicole Cellars	Horse Heaven Hills	2019	3.78	6.1	14.3	55.00		Big Shot Tempranillo	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2021/09/2019-Big-Shot-Tempranillo-ADA.pdf
177	Cabernet Sauvignon	Alexandria Nicole Cellars	Horse Heaven Hills	2018	3.79	5.9	14.5	42.00		Cabernet Sauvignon	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2021/02/2018-Alderdale-Cabernet-Sauvignon-ADA.pdf
178	Cabernet Franc	Alexandria Nicole Cellars	Horse Heaven Hills	2018	3.86	5.52	14.5	42.00		Wild One Cabernet Franc	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2021/09/2018-Cabernet-Franc-ADA.pdf
179	Carmenere	Alexandria Nicole Cellars	Horse Heaven Hills	2018	3.83	5.87	14.2	48.00		Carmenere	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2021/09/2018-Carmenere-ADA.pdf
180	Counoise	Alexandria Nicole Cellars	Horse Heaven Hills	2018	3.53	6.2	14.2	42.00		Counoise	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2021/04/2018-Counoise-ADA.pdf
181	Bordeaux Blend	Alexandria Nicole Cellars	Horse Heaven Hills	2018	3.73	5.89	14.3	56.00		Destiny	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2021/04/2018-Destiny-ADA.pdf
182	Grenache	Alexandria Nicole Cellars	Horse Heaven Hills	2018	3.64	6.7	14.5	42.00		Purple Reign Grenache	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/08/2018-Purple-Reign-Grenache-ADA.pdf
183	Malbec	Alexandria Nicole Cellars	Horse Heaven Hills	2018	3.71	5.56	14.4	42.00		Mr. Popular Malbec	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2021/01/2018-Mr-Popular-Malbec-ADA.pdf
184	Merlot	Alexandria Nicole Cellars	Horse Heaven Hills	2018	3.71	5.98	14.2	26.00		Gravity Merlot	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2021/02/2018-Merlot-ADA.pdf
185	Petit Sirah	Alexandria Nicole Cellars	Horse Heaven Hills	2018	3.72	5.5	14.6	48.00		Mr. Big Petite Sirah	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2021/01/2018-Mr-Big-Petite-Sirah-ADA.pdf
186	Petit Verdot	Alexandria Nicole Cellars	Horse Heaven Hills	2018	3.78	5.67	14.4	48.00		Little Big Man Petit Verdot	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2021/01/2018-Little-Big-Man-Petit-Verdot-ADA.pdf
187	Bordeaux Blend	Alexandria Nicole Cellars	Horse Heaven Hills	2018	3.74	5.88	14.2	26.00		Quarry Butte Red Blend	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/11/2018-Quarry-Butte-ADA.pdf
188	Syrah	Alexandria Nicole Cellars	Horse Heaven Hills	2018	3.68	5.7	14.4	45.00		Block 17 Syrah	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/09/2018-Block-17-Syrah-ADA.pdf
189	Syrah	Alexandria Nicole Cellars	Horse Heaven Hills	2018	3.72	6.3	14.2	28.00		Jet Black Syrah	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2021/01/2018-Jet-Black-Syrah-ADA.pdf
190	Tempranillo	Alexandria Nicole Cellars	Horse Heaven Hills	2018	3.75	6.1	14.3	55.00		Big Shot Tempranillo	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/08/2018-Big-Shot-Tempranillo-ADA.pdf
191	Cabernet Franc	Alexandria Nicole Cellars	Horse Heaven Hills	2017	3.71	5.9	14.4	42.00		Wild One Cabernet Franc	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/08/2017-Cabernet-Franc-ADA.pdf
192	Cabernet Sauvignon	Alexandria Nicole Cellars	Horse Heaven Hills	2017	3.77	5.7	14.5	42.00		Cabernet Sauvignon	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/05/2017-Alderdale-Cabernet-Sauvignon-New.pdf
193	Carmenere	Alexandria Nicole Cellars	Horse Heaven Hills	2017	3.69	5.9	14.2	48.00		Carmenere	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/09/2017-Carmenere-ADA.pdf
194	Counoise	Alexandria Nicole Cellars	Horse Heaven Hills	2017	3.65	5.8	14.2	42.00		Counoise	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/10/2017-Counoise-1-ADA.pdf
195	Bordeaux Blend	Alexandria Nicole Cellars	Horse Heaven Hills	2017	3.7	5.59	14.2	56.00		Destiny	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/02/ANC-TastingNote-2017Destiny_ada.pdf
196	Grenache	Alexandria Nicole Cellars	Horse Heaven Hills	2017	3.76	5.8	14.2	42.00		Purple Reign Grenache	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/02/2017-Purple-Reign-Grenache-new_ada.pdf
197	Malbec	Alexandria Nicole Cellars	Horse Heaven Hills	2017	3.59	5.57	13.8	42.00		Mr. Popular Malbec	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/02/ANC-TastingNote-2017Malbec_ada.pdf
198	Petit Sirah	Alexandria Nicole Cellars	Horse Heaven Hills	2017	3.76	5.8	13.9	48.00		Mr. Big Petite Sirah	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/08/2017-Mr-Big-Petite-Sirah-ADA.pdf
199	Petit Verdot	Alexandria Nicole Cellars	Horse Heaven Hills	2017	3.6	5.67	NA	48.00		Little Big Man Petit Verdot	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/02/ANC-TastingNote-2017PetitVerdot_ada.pdf
200	Bordeaux Blend	Alexandria Nicole Cellars	Horse Heaven Hills	2017	3.81	5.7	14.2	26.00		Quarry Butte Red Blend	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/04/2017-Quarry-Butte-ADA.pdf
201	Rhone Blend	Alexandria Nicole Cellars	Horse Heaven Hills	2017	3.61	6.2	14.2	45.00		Rock Star Red	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2021/05/2017-Rock-Star-Red-ADA-2.pdf
202	Syrah	Alexandria Nicole Cellars	Horse Heaven Hills	2017	3.6	5.8	14.4	45.00		Block 17 Syrah	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/02/ANC-TastingNote-2017Block17Syrah_ada.pdf
203	Tempranillo	Alexandria Nicole Cellars	Horse Heaven Hills	2017	3.69	5.7	14.2	55.00		Tempranillo	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/02/ANC-TastingNote-2017Tempranillo_ada.pdf
204	Cabernet Franc	Alexandria Nicole Cellars	Horse Heaven Hills	2016	3.68	5.5	14.4	42.00		Wild One Cabernet Franc	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/03/2016-Cabernet-Franc-New_ada.pdf
205	Carmenere	Alexandria Nicole Cellars	Horse Heaven Hills	2016	3.71	6	14.2	48.00		Carmenere	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/02/2016-Carmenere-new_ada.pdf
206	Counoise	Alexandria Nicole Cellars	Horse Heaven Hills	2016	3.61	5.55	14.2	42.00		Counoise	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/02/2016-Counoise-new_ada.pdf
207	Bordeaux Blend	Alexandria Nicole Cellars	Horse Heaven Hills	2016	3.72	5.19	14.5	56.00		Destiny	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/02/2016-Destiny-New1_ada.pdf
208	Grenache	Alexandria Nicole Cellars	Horse Heaven Hills	2016	3.6	6	14.2	42.00		Purple Reign Grenache	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/02/2016-Purple-Reign-Grenache_ada.pdf
209	Bordeaux Blend	Alexandria Nicole Cellars	Horse Heaven Hills	2016	3.73	5.85	14.2	26.00		Quarry Butte Red Blend	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/02/2016-Quarry-Butte-New_ada.pdf
210	Rhone Blend	Alexandria Nicole Cellars	Horse Heaven Hills	2016	3.65	5.9	14.2	45.00		Rock Star Red	2021	https://www.alexandrianicolecellars.com/wp-content/uploads/2020/09/2016-Rock-Star-Red-New.pdf
211	Cabernet Sauvignon	Domaine Magdalena	Red Mountain	2017	4.12	4.5	13			Magdalena Vineyard Cabernet Sauvignon	2021	https://www.domainemagdalena.com/the-wine-2
212	Syrah	Dusted Valley	Wahluke Slope	2018	4.01	5.34	14.2	55.00	110	Rachis Syrah	2022	https://www.dustedvalley.com/wines/syrah/2018-rachis-syrah/
213	Syrah	Dusted Valley	Walla Walla Valley	2019	3.72	6.33	14.2	36.00	530.00	Stained Tooth Syrah	2022	https://www.dustedvalley.com/wines/syrah/2019-stained-tooth-syrah/
214	Syrah	Dusted Valley	Walla Walla Valley	2019	3.96	5.43	14.2	62.00	110	Tall Tales Syrah	2022	https://www.dustedvalley.com/wines/syrah/2019-tall-tales-syrah/
215	Mourvedre	Dusted Valley	Walla Walla Valley	2019	3.83	5.47	13.9	45.00	110	Mourvedre	2022	https://www.dustedvalley.com/wines/rhone-inspired-wines/2019-mourvedre/
216	Grenache	Dusted Valley	Walla Walla Valley	2018	3.9	5.25	14.5	45.00	105	Squirrel Tooth Alice	2022	https://www.dustedvalley.com/wines/2018-squirrel-tooth-alice/
217	Mourvedre	Dusted Valley	Wahluke Slope	2018	3.85	5.49	14.2	45.00	180	Wallywood	2022	https://www.dustedvalley.com/wines/rhone-inspired-wines/2018-wallywood/
218	Petit Sirah	Dusted Valley	Wahluke Slope	2018	3.92	5.84	14.5	45.00	415	Petit Sirah	2022	https://www.dustedvalley.com/wines/rhone-inspired-wines/2018-petite-sirah/
219	Cabernet Sauvignon	Dusted Valley	Columbia Valley	2019	3.94	5.95	14.2	35.00	1500	Cabernet Sauvignon	2022	https://www.dustedvalley.com/wines/cabernet-sauvignon/2019-cabernet-sauvignon/
220	Cabernet Sauvignon	Dusted Valley	Walla Walla Valley	2018	3.74	5.9	14.5	62.00	300	VR Special Cabernet Sauvignon	2022	https://www.dustedvalley.com/wines/cabernet-sauvignon/2018-v-r-special-cabernet-sauvignon/
221	Malbec	Dusted Valley	Walla Walla Valley	2018	3.76	6.2	14.5	45.00	200	Malbec	2022	https://www.dustedvalley.com/wines/bordeaux-inspired-wines/2018-malbec/
222	Merlot	Dusted Valley	Columbia Valley	2018	3.74	5.2	14.5	55.00	120	BFM Dionysus Vineyard	2022	https://www.dustedvalley.com/wines/bordeaux-inspired-wines/2018-bfm-dionysus/
223	Merlot	Dusted Valley	Walla Walla Valley	2018	3.7	6.2	14.5	55.00	145	BFM Southwind	2022	https://www.dustedvalley.com/wines/bordeaux-inspired-wines/2018-bfm-southwind/
224	Cabernet Franc	Dusted Valley	Walla Walla Valley	2019	3.79	6.25	14.5	45.00	200	Cabernet Franc	2022	https://www.dustedvalley.com/wines/bordeaux-inspired-wines/2019-cabernet-franc/
225	Rhone Blend	Maryhill Winery	Rattlesnake Hills	2018	3.65	5.89	14.5	54.00	628	Marvell GSM Elephant Mountain Vineyard	2022	https://www.maryhillwinery.com/product/2016-Marvell--GSM---Elephant-Mountain-Vineyard-Copy?sortBy=DisplayOrder&maxRows=10&
226	Red Blend	Maryhill Winery	Columbia Valley	2017	3.46	6.04	15.2	40.00	235	Tavolo Rosso Proprietor's Reserve	2022	https://www.maryhillwinery.com/product/2016-Tavolo-Rosso-Proprietor-s-Reserve-Copy?sortBy=DisplayOrder&maxRows=10&
227	Merlot	Maryhill Winery	Columbia Valley	2017	3.48	5.75	14.5	25.00	NA	Merlot	2022	https://www.maryhillwinery.com/product/2016-Merlot-Copy
228	Bordeaux Blend	Maryhill Winery	Columbia Valley	2017	3.7	6.09	14.8	44.00	486	Serendipity Proprietor's Reserve	2022	https://www.maryhillwinery.com/product/2016-Serendipity-Proprietor-s-Reserve-Copy?sortBy=DisplayOrder&maxRows=10&
229	Cabernet Franc	Maryhill Winery	Columbia Valley	2018	3.5	5.85	14.5	28.00	1888	Cabernet Franc	2022	https://www.maryhillwinery.com/product/2017-Cabernet-Franc-Copy?sortBy=DisplayOrder&maxRows=10&
230	Carmenere	Maryhill Winery	Rattlesnake Hills	2018	3.56	5.93	14.2	55.00	257	Carmenere Elephant Mountain Vineyard	2022	https://www.maryhillwinery.com/product/2017-Carmenere--Elephant-Mountain-Vineyard-Copy?sortBy=DisplayOrder&maxRows=10&
231	Sangiovese	Maryhill Winery	Columbia Valley	2017	3.65	5.99	14.5	28.00	489	Sangiovese	2022	https://www.maryhillwinery.com/product/2016-Sangiovese-Copy?sortBy=DisplayOrder&maxRows=10&
232	Cabernet Franc	Maryhill Winery	Columbia Valley	2017	3.52	6.38	14.8	42.00	234	Cabernet Franc Proprietor's Reserve	2022	https://www.maryhillwinery.com/product/2016-Cabernet-Franc-Proprietor-s-Reserve-Copy?sortBy=DisplayOrder&maxRows=10&
233	Cabernet Sauvignon	Maryhill Winery	Red Mountain	2018	3.75	5.87	15	50.00	611	Cabernet Sauvignon Klipsun Vineyard	2022	https://www.maryhillwinery.com/product/2018-Cabernet-Sauvignon--Kiona-Vineyard-Copy1?sortBy=DisplayOrder&maxRows=10&
234	Cinsaut	Maryhill Winery	Horse Heaven Hills	2018	3.58	5.8	14.5	54.00	234	Cinsaut McKinley Springs Vineyard	2022	https://www.maryhillwinery.com/product/2017-Cinsaut--McKinley-Springs-Vineyard-Copy?sortBy=DisplayOrder&maxRows=10&
235	Red Blend	Maryhill Winery	Columbia Valley	2019	3.61	5.95	14.1	18.00	7280	Winemaker's Red	2022	https://www.maryhillwinery.com/product/2018-Winemaker-s-Red-Copy?sortBy=DisplayOrder&maxRows=10&
236	Dolcetto	Maryhill Winery	Yakima Valley	2018	3.47	5.85	14.2	54.00	127	Dolcetto Art Den Hoed Vineyard Painted Hills	2022	https://www.maryhillwinery.com/product/2017-Dolcetto--Art-Den-Hoed-Vineyard-Painted-Hills-Copy?sortBy=DisplayOrder&maxRows=10&
237	Red Blend	Maryhill Winery	Columbia Valley	2018	3.71	5.74	14.8	40.00	181	Rosso Granato Proprietor's Reserve	2022	https://www.maryhillwinery.com/product/2017-Rosso-Granato-Proprietor-s-Reserve-Copy?sortBy=DisplayOrder&maxRows=10&
238	Red Blend	Maryhill Winery	Columbia Valley	2018	3.47	5.89	14.1	19.00	NA	Winemaker's Red Spokane Humane Society	2022	https://www.maryhillwinery.com/product/2018-Winemaker-s-Red-Copy1?sortBy=DisplayOrder&maxRows=10&
239	Cabernet Sauvignon	Maryhill Winery	Wahluke Slope	2018	3.67	5.88	15	50.00	404	Cabernet Sauvignong Northridge Vineyard	2022	https://www.maryhillwinery.com/product/2017-Cabernet-Sauvignon--Clifton-Hill-Vineyard-Copy?sortBy=DisplayOrder&maxRows=10&
240	Merlot	Maryhill Winery	Horse Heaven Hills	2017	3.51	5.87	14.5	48.00	318	Merlot McKinley Springs Vineyard	2022	https://www.maryhillwinery.com/product/2012-Merlot--McKinley-Springs-Vineyard-Copy?sortBy=DisplayOrder&maxRows=10&
241	Cabernet Sauvignon	Maryhill Winery	Rattlesnake Hills	2017	3.99	6.01	15.5	50.00	315	Cabernet Sauvignon Elephant Mountain Vineyards	2022	https://www.maryhillwinery.com/product/2017-Cabernet-Sauvignon--Elephant-Mountain-Vineyards?sortBy=DisplayOrder&maxRows=10&
242	Zinfandel	Maryhill Winery	Columbia Valley	2017	3.62	5.64	15.5	20.00	1284	Zinfandel	2022	https://www.maryhillwinery.com/product/2016-Zinfandel-Copy?sortBy=DisplayOrder&maxRows=10&
243	Petit Sirah	Maryhill Winery	Red Mountain	2017	3.39	6.23	15	48.00	303	Petit Sirah Kiona Vineyards	2022	https://www.maryhillwinery.com/product/2016-Petite-Sirah--Kiona-Vineyards-Copy?sortBy=DisplayOrder&maxRows=10&
244	Cabernet Sauvignon	Maryhill Winery	Columbia Valley	2018	3.59	5.78	14.5	31.00	2421	Cabernet Sauvignon	2022	https://www.maryhillwinery.com/product/2017-Cabernet-Sauvignon-Copy?sortBy=DisplayOrder&maxRows=10&
245	Primitivo	Maryhill Winery	Columbia Valley	2018	3.74	5.82	15	40.00	235	Primitivo Art Den Hoed Vineyard Painted Hills	2022	https://www.maryhillwinery.com/product/2017-Primitivo--Art-Den-Hoed-Vineyard-Painted-Hills-Copy?sortBy=DisplayOrder&maxRows=10&
246	Grenache	Maryhill Winery	Columbia Valley	2017	3.27	6.23	14.5	46.00	855	Grenache Proprietor's Reserve	2022	https://www.maryhillwinery.com/product/2016-Grenache-Proprietor-s-Reserve-Copy?sortBy=DisplayOrder&maxRows=10&
247	Syrah	Maryhill Winery	Columbia Valley	2017	3.8	6.09	15.5	44.00	346	Syrah Proprietor's Reserve	2022	https://www.maryhillwinery.com/product/2016-Syrah-Proprietor-s-Reserve-Copy?sortBy=DisplayOrder&maxRows=10&
248	Cabernet Sauvignon	Maryhill Winery	Columbia Valley	2017	3.81	5.93	15.2	50.00	596	Cabernet Sauvignon Proprietor's Reserve	2022	https://www.maryhillwinery.com/product/2016-Cabernet-Sauvignon-Proprietor-s-Reserve-Copy?sortBy=DisplayOrder&maxRows=10&
249	Syrah	Maryhill Winery	Columbia Valley	2017	4.02	5.82	14.5	28.00	1307	Syrah	2022	https://www.maryhillwinery.com/product/2017-Syrah-Copy?sortBy=DisplayOrder&maxRows=10&
250	Tempranillo	Maryhill Winery	Columbia Valley	2018	3.92	5.96	14.5	50.00	275	Tempranillo Art Den Hoed Vineyard Painted Hills	2022	https://www.maryhillwinery.com/product/2017-Tempranillo--Art-Den-Hoed-Vineyard-Painted-Hills-Copy?sortBy=DisplayOrder&maxRows=10&
251	Red Blend	Maryhill Winery	Columbia Valley	2017	3.53	6.23	14.8	50.00	354	Lot 12 Proprietor's Reserve	2022	https://www.maryhillwinery.com/product/2017-Lot-12-Proprietor-s-Reserve?sortBy=DisplayOrder&maxRows=10&
252	Pinot Noir	Maryhill Winery	Columbia Valley	2018	3.53	6.09	14.8	40.00	1319	Pinot Noir Proprietor's Reserve	2022	https://www.maryhillwinery.com/product/2017-Pinot-Noir-Proprietor-s-Reserve-Copy?sortBy=DisplayOrder&maxRows=10&
