identifier	variety	winery	AVA	vintage	pH	titratableAcidity	ethanol	price_USD	nCases	wineID	collectionYear	sourceDomain
43	Merlot	Novelty Hill	Columbia Valley	2016	3.72	5.5	14.4		551	Stillwater Creek Merlot	2020	https://www.noveltyhilljanuik.com
44	Merlot	Januik	Red Mountain	2017	3.66	5.2	NA		293	Klipsun Merlot	2020	https://www.noveltyhilljanuik.com
45	Malbec	Novelty Hill	Columbia Valley	2017	3.68	5.6	14.4			Stillwater Creek Malbec	2020	https://www.noveltyhilljanuik.com
46	Merlot	Januik	Columbia Valley	2017	3.7	5.4	NA		577	Columbia Valley Merlot	2020	https://www.noveltyhilljanuik.com
47	Cabernet Franc	Januik	Wahluke Slope	2017	3.72	5.4	14.4			Weinbau Vineyard Cabernet Franc	2020	https://www.noveltyhilljanuik.com
48	Cabernet Sauvignon	Novelty Hill	Columbia Valley	2017	3.74	5.4	14.4		5109	Columbia Valley Cabernet Sauvignon	2020	https://www.noveltyhilljanuik.com
49	Merlot	Novelty Hill	Columbia Valley	2017	3.7	5.2	14.4		3902	Columbia Valley Merlot	2020	https://www.noveltyhilljanuik.com
50	Bordeaux Blend	Novelty Hill	Columbia Valley	2018	3.74	5.5	14.4			Columbia Valley R.S.R Red Wine	2020	https://www.noveltyhilljanuik.com
51	Merlot	Januik	Columbia Valley	2016	3.7	5.4	NA			Champoux Vineyard Merlot	2020	https://www.noveltyhilljanuik.com
52	Cabernet Sauvignon	Januik	Red Mountain	2017	3.78	5.6	NA			Red Mountain Cabernet Sauvignon	2020	https://www.noveltyhilljanuik.com
53	Cabernet Sauvignon	Abeja	Columbia Valley	2017	3.84	5.4	14.5	60.000	2588	Columbia Valley Cabernet Sauvignon	2020	https://www.abeja.net
54	Merlot	Abeja	Columbia Valley	2018	3.71	5.1	14.5	50.000	728	Columbia Valley Merlot	2020	https://www.abeja.net
55	Cabernet Franc	Abeja	Walla Walla Valley	2018	3.87	5	14.5	80.000	169	Heather Hill Cabernet Franc	2020	https://www.abeja.net
56	Cabernet Sauvignon	Abeja	Walla Walla Valley	2017	3.85	5.85	14.5	75.000	532	Heather Hill Cabernet Sauvignon	2020	https://www.abeja.net
57	Bordeaux Blend	Abeja	Washington State	2018	3.84	5.62	14.2	34.000		Beekeeper's Blend	2020	https://www.abeja.net
58	Cabernet Sauvignon	Apex Cellars	Columbia Valley	2015	3.59	6.18	14.3			Columbia Valley Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/apex/
59	Cabernet Sauvignon	Apex Cellars	Red Mountain	2015	3.76	5.53	12.8			Red Mountain Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/apex/
60	Cabernet Sauvignon	4 Cellars	Columbia Valley	2017	3.9	5.44	13.9			4 Cellars Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/4-cellars/
61	Cabernet Sauvignon	Alder Ridge	Horse Heaven Hills	2016	3.56	6.75	14.7			Alder Ridge Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/alder-ridge/
62	Cabernet Sauvignon	Alder Ridge	horseHeavenHills/Yakima	2017	3.9	6.2	13.8			Six Prong Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/alder-ridge/
63	Cabernet Sauvignon	Browne Family Vineyards	Columbia Valley	2015	3.86	5.9	15.4			Bitner Red Blend	2020	https://www.preceptwine.com/our-wines/browne-family/
64	Cabernet Franc	Browne Family Vineyards	Columbia Valley	2017	3.79	5	14			Cabernet Franc	2020	https://www.preceptwine.com/our-wines/browne-family/
65	Cabernet Sauvignon	Browne Family Vineyards	Columbia Valley	2018	3.89	5.3	14			Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/browne-family/
66	Merlot	Browne Family Vineyards	Walla Walla Valley	2015	3.91	5	14.5		536	Estate Merlot	2020	https://www.preceptwine.com/our-wines/browne-family/
67	Cabernet Sauvignon	Browne Family Vineyards	Columbia Valley	2018	3.9	5.44	13.9			Family Vineyards Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/browne-family/
68	Cabernet Sauvignon	Browne Family Vineyards	Columbia Valley	2018	3.91	5.1	14			Heritage Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/browne-family/
69	Malbec	Browne Family Vineyards	Columbia Valley	2017	3.86	5.5	12.3			Malbec	2020	https://www.preceptwine.com/our-wines/browne-family/
70	Merlot	Browne Family Vineyards	Columbia Valley	2017	3.88	4.5	14.2			Merlot	2020	https://www.preceptwine.com/our-wines/browne-family/
71	Petit Verdot	Browne Family Vineyards	Columbia Valley	2017	3.89	5.1	13.9			Petit Verdot	2020	https://www.preceptwine.com/our-wines/browne-family/
72	Bordeaux Blend	Browne Family Vineyards	Columbia Valley	2017	3.78	5.2	14.11			Tribute Red Blend	2020	https://www.preceptwine.com/our-wines/browne-family/
73	Cabernet Sauvignon	Canoe Ridge	Columbia Valley	2018	3.94	4.92	14			Columbia Valley Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/canoe-ridge/
74	Merlot	Canoe Ridge	Columbia Valley	2018	3.96	5.31	14			Columbia Valley Merlot	2020	https://www.preceptwine.com/our-wines/canoe-ridge/
75	Bordeaux Blend	Canoe Ridge	Columbia Valley	2018	3.8	5.85	14.3			Columbia Valley Red Blend	2020	https://www.preceptwine.com/our-wines/canoe-ridge/
76	Cabernet Sauvignon	Canoe Ridge	Horse Heaven Hills	2016	3.74	5.78	14			Reserve Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/canoe-ridge/
77	Merlot	Canoe Ridge	Horse Heaven Hills	2016	3.67	5.85	14			Reserve Merlot	2020	https://www.preceptwine.com/our-wines/canoe-ridge/
78	Cabernet Sauvignon	Canoe Ridge	Horse Heaven Hills	2018	3.8	5.56	14			Expedition Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/canoe-ridge/
79	Malbec	Canoe Ridge	Horse Heaven Hills	2018	3.76	6.73	14			Expedition Malbec	2020	https://www.preceptwine.com/our-wines/canoe-ridge/
80	Merlot	Canoe Ridge	Horse Heaven Hills	2018	3.81	4.63	14			Expedition Merlot	2020	https://www.preceptwine.com/our-wines/canoe-ridge/
81	Bordeaux Blend	Canoe Ridge	Horse Heaven Hills	2018	3.84	4.75	14			Expedition Red Blend	2020	https://www.preceptwine.com/our-wines/canoe-ridge/
82	Merlot	Canoe Ridge	Horse Heaven Hills	2017	3.76	5.59	14			Explorer Merlot	2020	https://www.preceptwine.com/our-wines/canoe-ridge/
83	Bordeaux Blend	Canoe Ridge	Horse Heaven Hills	2016	3.7	5.83	14.4			Explorer Red Blend	2020	https://www.preceptwine.com/our-wines/canoe-ridge/
84	Cabernet Sauvignon	House Wine	Columbia Valley	2018	3.86	5.58	13.3			Dark Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/house-wine/
85	Merlot	House Wine	Columbia Valley	2018	3.89	5.53	14.1			Mountain Merlot	2020	https://www.preceptwine.com/our-wines/house-wine/
86	Cabernet Sauvignon	House Wine	Columbia Valley	2018	3.9	5.38	13.9			Steak House Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/house-wine/
87	Cabernet Sauvignon	Pendulum	Columbia Valley	2018	3.83	5.3	13.8			Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/pendulum/
88	Bordeaux Blend	Pendulum	Columbia Valley	2018	3.75	5.8	14			Red Blend	2020	https://www.preceptwine.com/our-wines/pendulum/
89	Cabernet Sauvignon	Sagelands	Columbia Valley	2018	3.83	5.61	13.7			Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/sagelands/
90	Cabernet Sauvignon	Sagelands	Columbia Valley	2018	3.86	5.76	13.2			Dark Shadow Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/sagelands/
91	Merlot	Sagelands	Columbia Valley	2018	3.89	5.53	14.1			Merlot	2020	https://www.preceptwine.com/our-wines/sagelands/
92	Cabernet Sauvignon	The Huntsman	Columbia Valley	2017	3.93	5.16	13.2			Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/the-huntsman/
93	Cabernet Sauvignon	Washington Hills	Columbia Valley	2018	3.83	5.61	13.7			Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/washington-hills/
94	Merlot	Washington Hills	Columbia Valley	2017	3.87	5.03	13.4			Merlot	2020	https://www.preceptwine.com/our-wines/washington-hills/
95	Cabernet Sauvignon	Water Brook	Columbia Valley	2018	3.95	5.1	14.3			Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/waterbrook/
96	Malbec	Water Brook	Columbia Valley	2018	3.75	5.6	13.3			Malbec	2020	https://www.preceptwine.com/our-wines/waterbrook/
97	Bordeaux Blend	Water Brook	Columbia Valley	2018	3.81	5.5	14			Melange Founder's Red Blend	2020	https://www.preceptwine.com/our-wines/waterbrook/
98	Merlot	Water Brook	Columbia Valley	2018	3.86	4.6	14.5			Merlot	2020	https://www.preceptwine.com/our-wines/waterbrook/
99	Cabernet Sauvignon	Water Brook	Red Mountain	2017	3.9	5.1	14.9			Red Mountain Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/waterbrook/
100	Cabernet Sauvignon	Water Brook	Columbia Valley	2017	3.93	5.7	14.3			Reserve Cabernet Sauvignon	2020	https://www.preceptwine.com/our-wines/waterbrook/
101	Malbec	Water Brook	Columbia Valley	2017	3.79	5.6	14			Reserve Malbec	2020	https://www.preceptwine.com/our-wines/waterbrook/
102	Merlot	Water Brook	Columbia Valley	2017	3.71	5.3	14			Reserve Merlot	2020	https://www.preceptwine.com/our-wines/waterbrook/
103	Cabernet Sauvignon	Powers	Wahluke Slope	2016	3.85	6.5	14	35.000	445	Katherine Leone Vineyard Cabernet Sauvignon	2021	https://badgerpowers-shop.vintegrate.com/2016-Katherine-Leone-Cab-Sauvignon
104	Bordeaux Blend	Powers	Horse Heaven Hills	2017	3.8	6.3	14	25.000	336	Horse Heaven Hills Red Blend	2021	https://badgerpowers-shop.vintegrate.com/2017-HHH-Red-Blend
105	Cabernet Sauvignon	Powers	Wahluke Slope	2017	3.79	6.5	14	40.000	499	Ravenscliff Cabernet Sauvignon	2021	https://badgerpowers-shop.vintegrate.com/2017-Ravenscliff-Cab-Sauvignon
106	Bordeaux Blend	Chateau Ste Michelle	Columbia Valley	2018	3.86	5.6	13.5			Columbia Valley Cabernet Sauvignon	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2018-cabernet-sauvignon/5637307326.p
107	Malbec	Chateau Ste Michelle	Columbia Valley	2017	3.79	5.6	14.8			Limited Release Royal Slope Malbec	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2017-limited-release-royal-slope-malbec/5637224828.p
108	Merlot	Chateau Ste Michelle	Horse Heaven Hills	2016	3.78	5.4	14.5		3500	Canoe Ridge Estate Merlot	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2016-canoe-ridge-estate-merlot/5637246578.p
109	Rhone Blend	Chateau Ste Michelle	Columbia Valley	2018	3.87	5.6	14.9		1421	Limited Release Austral Red Wine	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2018-limited-release-austral-red-wine/5637284830.p
110	Syrah	Chateau Ste Michelle	Yakima Valley	2018	3.8	6.2	14.5		1062	Limited Release Syrano Syrah	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2018-limited-release-syrano-syrah/5637284831.p
111	Syrah	Chateau Ste Michelle	Columbia Valley	2019	3.89	5.4	13.5			Columbia Valley Syrah	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2019-syrah/5637300576.p
112	Cabernet Sauvignon	Chateau Ste Michelle	Columbia Valley	2017	3.86	5.4	14.8			Ethos Reserve Cabernet Sauvignon	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2017-ethos-reserve-cabernet-sauvignon/5637308081.p
113	Syrah	Chateau Ste Michelle	Rattlesnake Hills	2016	3.69	5.9	14		502	Limited Release Syrano Syrah	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2016-limited-release-syrano-syrah/5637166390.p
114	Rhone Blend	Chateau Ste Michelle	Columbia Valley	2016	3.87	5.3	15.2		1061	Limited Release Austral Red Wine	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2016-limited-release-austral-red-wine/5637166333.p
115	Cabernet Sauvignon	Chateau Ste Michelle	Columbia Valley	2018	3.85	5.5	14.5			Indian Wells Cabernet Sauvignon	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2018-indian-wells-cabernet-sauvignon/5637302080.p
116	Sangiovese	Chateau Ste Michelle	Horse Heaven Hills	2016	3.83	5.6	14.5		703	Limited Release Sangiovese	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2016-limited-release-sangiovese/5637166389.p
